series,timestamp,value,label
Rise,2015-07-01T02:25:00.000Z,205,1
Set,2015-07-01T18:25:00.000Z,1165,1
Rise,2015-07-02T02:45:00.000Z,225,1
Set,2015-07-02T18:20:00.000Z,1160,1
Rise,2015-07-03T02:30:00.000Z,210,1
Set,2015-07-03T18:05:00.000Z,1145,1
Rise,2015-07-04T02:45:00.000Z,225,1
Set,2015-07-04T18:25:00.000Z,1165,1
Rise,2015-07-05T02:30:00.000Z,210,1
Set,2015-07-05T17:30:00.000Z,1110,1
Rise,2015-07-06T02:35:00.000Z,215,1
Set,2015-07-06T18:10:00.000Z,1150,1
Rise,2015-07-07T02:35:00.000Z,215,1
Set,2015-07-07T18:15:00.000Z,1155,1
Rise,2015-07-08T02:25:00.000Z,205,1
Set,2015-07-08T18:05:00.000Z,1145,1
Rise,2015-07-09T02:20:00.000Z,200,1
Set,2015-07-09T18:20:00.000Z,1160,1
Rise,2015-07-10T02:45:00.000Z,225,1
Set,2015-07-10T18:15:00.000Z,1155,1
Rise,2015-07-11T02:20:00.000Z,200,1
Set,2015-07-11T18:00:00.000Z,1140,1
Rise,2015-07-12T02:40:00.000Z,220,1
Set,2015-07-12T18:00:00.000Z,1140,1
Rise,2015-07-13T02:35:00.000Z,215,1
Set,2015-07-13T18:10:00.000Z,1150,1
Rise,2015-07-14T02:55:00.000Z,235,1
Set,2015-07-14T18:00:00.000Z,1140,1
Rise,2015-07-15T02:25:00.000Z,205,1
Set,2015-07-15T17:50:00.000Z,1130,1
Rise,2015-07-16T02:40:00.000Z,220,1
Set,2015-07-16T18:05:00.000Z,1145,1
Rise,2015-07-17T02:25:00.000Z,205,1
Set,2015-07-17T18:05:00.000Z,1145,1
Rise,2015-07-18T02:35:00.000Z,215,1
Set,2015-07-18T18:05:00.000Z,1145,1
Rise,2015-07-19T02:35:00.000Z,215,1
Set,2015-07-19T18:20:00.000Z,1160,1
Rise,2015-07-20T02:40:00.000Z,220,1
Set,2015-07-20T18:10:00.000Z,1150,1
Rise,2015-07-21T02:30:00.000Z,210,1
Set,2015-07-21T18:00:00.000Z,1140,1
Rise,2015-07-22T02:35:00.000Z,215,1
Set,2015-07-22T18:05:00.000Z,1145,1
Rise,2015-07-23T02:35:00.000Z,215,1
Set,2015-07-23T17:55:00.000Z,1135,1
Rise,2015-07-24T02:40:00.000Z,220,1
Set,2015-07-24T17:55:00.000Z,1135,1
Rise,2015-07-25T02:35:00.000Z,215,1
Set,2015-07-25T18:00:00.000Z,1140,1
Rise,2015-07-26T02:40:00.000Z,220,1
Set,2015-07-26T18:05:00.000Z,1145,1
Rise,2015-07-27T02:35:00.000Z,215,1
Set,2015-07-27T18:05:00.000Z,1145,1
Rise,2015-07-28T02:45:00.000Z,225,1
Set,2015-07-28T17:55:00.000Z,1135,1
Rise,2015-07-29T02:40:00.000Z,220,1
Set,2015-07-29T18:05:00.000Z,1145,1
Rise,2015-07-30T02:40:00.000Z,220,1
Set,2015-07-30T18:00:00.000Z,1140,1
Rise,2015-07-31T03:05:00.000Z,245,1
Set,2015-07-31T17:55:00.000Z,1135,1
Rise,2015-08-01T02:50:00.000Z,230,1
Set,2015-08-01T18:00:00.000Z,1140,1
Rise,2015-08-02T02:40:00.000Z,220,1
Set,2015-08-02T17:55:00.000Z,1135,1
Rise,2015-08-03T02:45:00.000Z,225,1
Set,2015-08-03T17:45:00.000Z,1125,1
Rise,2015-08-04T02:55:00.000Z,235,1
Set,2015-08-04T17:45:00.000Z,1125,1
Rise,2015-08-05T02:45:00.000Z,225,1
Set,2015-08-05T17:45:00.000Z,1125,1
Rise,2015-08-06T02:55:00.000Z,235,1
Set,2015-08-06T17:45:00.000Z,1125,1
Rise,2015-08-07T02:50:00.000Z,230,1
Set,2015-08-07T17:45:00.000Z,1125,1
Rise,2015-08-08T02:50:00.000Z,230,1
Set,2015-08-08T17:45:00.000Z,1125,1
Rise,2015-08-09T03:20:00.000Z,260,2
Set,2015-08-09T17:40:00.000Z,1120,2
Rise,2015-08-10T03:00:00.000Z,240,2
Set,2015-08-10T17:25:00.000Z,1105,2
Rise,2015-08-11T03:15:00.000Z,255,2
Set,2015-08-11T17:25:00.000Z,1105,2
Rise,2015-08-12T03:05:00.000Z,245,2
Set,2015-08-12T17:15:00.000Z,1095,2
Rise,2015-08-13T03:15:00.000Z,255,2
Set,2015-08-13T17:30:00.000Z,1110,2
Rise,2015-08-14T03:15:00.000Z,255,2
Set,2015-08-14T17:30:00.000Z,1110,2
Rise,2015-08-15T03:25:00.000Z,265,2
Set,2015-08-15T17:30:00.000Z,1110,2
Rise,2015-08-16T03:20:00.000Z,260,2
Set,2015-08-16T17:20:00.000Z,1100,2
Rise,2015-08-17T03:25:00.000Z,265,2
Set,2015-08-17T17:25:00.000Z,1105,2
Rise,2015-08-18T03:20:00.000Z,260,2
Set,2015-08-18T17:20:00.000Z,1100,2
Rise,2015-08-19T03:25:00.000Z,265,2
Set,2015-08-19T17:25:00.000Z,1105,2
Rise,2015-08-20T03:20:00.000Z,260,2
Set,2015-08-20T17:10:00.000Z,1090,2
